temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
5.1,22.6,0.0,0.0,0.0,19.0,61,12.2,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2025-03-26,NEG-10037.0-2025-03-26,0
-1.5,13.1,0.0,0.0,0.0,9.7,66,4.6,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2025-03-09,NEG-10037.0-2025-03-09,0
-9.1,-2.6,0.3,0.21,0.0,11.0,76,-1.3,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2025-02-05,NEG-10037.0-2025-02-05,0
22.6,32.2,0.5,0.0,0.5,10.8,82,28.0,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2024-09-13,NEG-10037.0-2024-09-13,0
21.9,26.9,42.0,0.0,42.0,29.2,90,24.4,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2024-07-10,NEG-10037.0-2024-07-10,0
22.2,30.3,19.9,0.0,19.9,22.8,90,25.1,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2024-07-20,NEG-10037.0-2024-07-20,0
5.6,19.6,0.0,0.0,0.0,14.8,59,11.8,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-03-24,NEG-10041.0-2024-03-24,0
21.9,27.2,76.4,0.0,76.4,23.2,93,24.7,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-07-17,NEG-10041.0-2024-07-17,0
-4.2,2.2,0.0,0.0,0.0,10.9,60,1.0,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-12-03,NEG-10041.0-2024-12-03,0
-6.1,-2.6,0.0,0.0,0.0,14.9,45,-0.0,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2025-01-15,NEG-10041.0-2025-01-15,0
9.3,19.5,0.1,0.0,0.1,13.5,80,15.2,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-04-25,NEG-10041.0-2024-04-25,0
23.0,28.9,1.6,0.0,1.6,17.4,89,25.5,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-07-19,NEG-10041.0-2024-07-19,0
12.9,22.6,0.0,0.0,0.0,20.0,73,20.4,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-05-31,NEG-10041.0-2024-05-31,0
-7.1,-1.4,0.0,0.0,0.0,9.8,46,-0.6,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-12-18,NEG-10041.0-2024-12-18,0
-1.8,5.3,2.1,1.47,0.0,13.0,80,2.6,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-02-25,NEG-10041.0-2024-02-25,0
-6.2,3.4,0.0,0.0,0.0,14.8,68,-1.1,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-01-12,NEG-10041.0-2024-01-12,0
0.5,14.4,0.0,0.0,0.0,10.2,57,9.2,158.0,144.0,124.0,14.0,595.04,12.9,1.2,15415214.285714284,308.0,직영점,신림점,관악팀,37.4714,126.9336,10041.0,2024-03-31,NEG-10041.0-2024-03-31,0
