temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
5.8,20.9,0.0,0.0,0.0,14.9,63,12.7,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2026-03-28,NEG-10037.0-2026-03-28,0
13.3,20.9,0.3,0.0,0.3,8.7,67,15.8,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2026-04-14,NEG-10037.0-2026-04-14,0
-0.1,4.1,16.7,4.34,10.5,11.2,67,3.2,427.0,382.0,360.0,45.0,1715.0,18.0,1.1,20832517.85714286,417.0,직영점,광주충장로점,전남팀,35.148,126.9159,10037.0,2026-02-24,NEG-10037.0-2026-02-24,0
2.5,13.3,0.0,0.0,0.0,7.0,70,7.5,65.0,62.0,58.0,3.0,231.0,6.9,0.5,8275303.571428572,166.0,직영점,연신내점,신촌팀,37.6199,126.9227,10058.0,2025-11-04,NEG-10058.0-2025-11-04,0
-2.3,7.9,0.6,0.0,0.6,14.6,84,2.5,65.0,62.0,58.0,3.0,231.0,6.9,0.5,8275303.571428572,166.0,직영점,연신내점,신촌팀,37.6199,126.9227,10058.0,2025-12-29,NEG-10058.0-2025-12-29,0
10.7,16.5,0.1,0.0,0.1,10.8,75,14.0,65.0,62.0,58.0,3.0,231.0,6.9,0.5,8275303.571428572,166.0,직영점,연신내점,신촌팀,37.6199,126.9227,10058.0,2025-10-25,NEG-10058.0-2025-10-25,0
16.7,25.5,0.3,0.0,0.3,14.9,79,20.9,71.0,71.0,67.0,0.0,213.0,8.8,1.1,10223518.51851852,204.0,직영점,대전중앙로역점,대전팀,36.328,127.4241,10065.0,2025-09-21,NEG-10065.0-2025-09-21,0
21.6,30.0,0.0,0.0,0.0,9.6,81,26.6,71.0,71.0,67.0,0.0,213.0,8.8,1.1,10223518.51851852,204.0,직영점,대전중앙로역점,대전팀,36.328,127.4241,10065.0,2025-08-08,NEG-10065.0-2025-08-08,0
10.8,16.7,0.4,0.0,0.4,12.5,74,14.2,71.0,71.0,67.0,0.0,213.0,8.8,1.1,10223518.51851852,204.0,직영점,대전중앙로역점,대전팀,36.328,127.4241,10065.0,2025-10-26,NEG-10065.0-2025-10-26,0
4.1,12.6,0.0,0.0,0.0,14.0,65,8.1,105.0,102.0,98.0,3.0,759.0,10.2,0.5,12971803.57142857,259.0,직영점,송내역점,북인천팀,37.4877,126.7528,10082.0,2026-02-27,NEG-10082.0-2026-02-27,0
10.6,25.7,0.0,0.0,0.0,18.4,53,18.2,105.0,102.0,98.0,3.0,759.0,10.2,0.5,12971803.57142857,259.0,직영점,송내역점,북인천팀,37.4877,126.7528,10082.0,2026-04-16,NEG-10082.0-2026-04-16,0
-0.1,12.0,0.0,0.0,0.0,10.3,67,7.1,105.0,102.0,98.0,3.0,759.0,10.2,0.5,12971803.57142857,259.0,직영점,송내역점,북인천팀,37.4877,126.7528,10082.0,2026-03-21,NEG-10082.0-2026-03-21,0
24.8,32.6,18.1,0.0,18.1,19.6,87,27.3,154.0,142.0,129.0,12.0,793.0,9.8,0.8,12548535.714285716,251.0,직영점,잠실점,강남팀,37.5085,127.0867,10087.0,2024-07-26,NEG-10087.0-2024-07-26,0
20.7,30.0,26.7,0.0,26.7,33.4,87,24.3,154.0,142.0,129.0,12.0,793.0,9.8,0.8,12548535.714285716,251.0,직영점,잠실점,강남팀,37.5085,127.0867,10087.0,2024-07-06,NEG-10087.0-2024-07-06,0
13.9,23.1,0.0,0.0,0.0,6.9,66,18.7,154.0,142.0,129.0,12.0,793.0,9.8,0.8,12548535.714285716,251.0,직영점,잠실점,강남팀,37.5085,127.0867,10087.0,2024-05-30,NEG-10087.0-2024-05-30,0
15.9,22.9,4.7,0.0,4.7,16.1,83,20.0,432.0,422.0,395.0,10.0,2122.0,20.2,1.8,22177267.85714286,444.0,직영점,상록수역점,안산팀,37.3014,126.8651,10090.0,2025-05-15,NEG-10090.0-2025-05-15,0
14.6,28.2,0.0,0.0,0.0,7.9,55,23.6,432.0,422.0,395.0,10.0,2122.0,20.2,1.8,22177267.85714286,444.0,직영점,상록수역점,안산팀,37.3014,126.8651,10090.0,2025-05-30,NEG-10090.0-2025-05-30,0
18.4,28.0,0.0,0.0,0.0,7.2,84,23.0,432.0,422.0,395.0,10.0,2122.0,20.2,1.8,22177267.85714286,444.0,직영점,상록수역점,안산팀,37.3014,126.8651,10090.0,2025-06-27,NEG-10090.0-2025-06-27,0
9.9,25.6,0.0,0.0,0.0,15.4,54,16.9,102.0,100.0,96.0,2.0,371.0,11.9,0.8,11809875.0,236.0,직영점,작전역점,북인천팀,37.5303,126.7226,10098.0,2026-04-16,NEG-10098.0-2026-04-16,0
