매장,매장명,지역,형태,폐점여부,오픈일,평수,실평수,창고,계약면적(㎡),진열평수,신주소,위도,경도,매장인원,입고도우미PO,일평균매출,일평균물동량
70920,(행)세이브존대전점,대전팀,유통행사,영업,2013-06-13,33.0,31.0,2.0,0.0,27.0,대전광역시 서구 둔산로 201 ,36.3551,127.3981,1.0,0.0,,
71667,롯데슈퍼부산용호점,서부산팀,유통점,영업,2019-08-23,280.0,260.0,20.0,924.0,254.0,"부산광역시 남구 분포로 145 (용호동, 더블유) ",35.1342,129.1112,8.2,0.8,,
71615,롯데슈퍼풍암점,전남팀,유통점,영업,2018-07-20,358.0,319.0,39.0,1182.06,311.0,광주광역시 서구 풍암2로 2 (풍암동) ,35.1272,126.8791,10.0,0.5,,
71625,AK몰기흥점,용인팀,유통점,영업,2018-12-14,213.0,200.0,13.0,703.68,194.0,"경기도 용인시 기흥구 기흥역로 63 (구갈동, 힐스테이트 기흥) ",37.2748,127.1188,10.9,0.8,,
71777,AK플라자광명점,안산팀,유통점,영업,2024-04-11,490.0,450.0,40.0,1602.0,442.0,경기도 광명시 양지로 17 (일직동) ,37.4187,126.8829,10.8,1.1,,
71811,AK플라자수원점,수원팀,유통점,영업,2025-02-12,318.0,287.0,31.0,2102.42,279.0,경기도 수원시 팔달구 덕영대로 924 (매산로1가) ,37.2656,127.0002,13.1,0.6,,
71800,GS슈퍼고양벽제점,일산팀,유통점,영업,2024-11-07,106.0,106.0,0.0,349.8,102.0,경기도 고양시 덕양구 푸른마을로 6 (고양동) ,37.7089,126.9028,1.0,0.0,,
70124,GS슈퍼공주점,대전팀,유통점,영업,2023-11-16,35.0,33.0,2.0,0.0,29.0,충청남도 공주시 무령로 310 (옥룡동) ,36.4555,127.1342,0.0,0.0,,
70129,GS슈퍼관악점,관악팀,유통점,영업,2002-08-15,12.0,12.0,0.0,0.0,0.0,서울특별시 관악구 쑥고개로 111 (봉천동) ,37.4793,126.949,1.0,0.0,,
71069,GS슈퍼광진화양점,구리팀,유통행사,영업,2010-04-23,19.0,19.0,0.0,0.0,15.0,서울특별시 광진구 능동로13길 39 한아름건물 ,37.544,127.0698,1.7,0.0,,
