위도,경도,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,pressure_msl_mean,soil_temperature_0_to_7cm_mean
33.2477,126.5149,2025-05-09,65.0,18.5,14.1,17.1,20.4,11.0,16.4,146.3,146.3,0.0,20.0,8.3,19.8,226.0,3.6,0.63,49410.03,0.0,99.0,100.0,89.0,16.9,18.5,13.9,1006.5,16.8
33.2477,126.5149,2025-09-22,51.0,25.9,21.3,23.3,28.0,22.8,24.8,0.2,0.2,0.0,2.0,6.31,14.8,62.0,17.47,3.49,43753.95,38764.55,82.0,90.0,69.0,19.9,20.6,19.2,1018.1,24.0
33.2589,126.4045,2024-02-22,53.0,12.6,8.4,10.6,11.3,6.9,8.8,3.2,3.2,0.0,13.0,6.39,13.7,72.0,3.44,0.76,40362.86,0.0,85.0,95.0,77.0,8.3,11.5,6.1,1019.8,11.6
33.2589,126.4045,2025-02-26,3.0,10.5,2.9,6.7,7.2,0.3,3.0,0.0,0.0,0.0,0.0,4.7,10.6,335.0,17.92,2.42,40931.45,38459.03,67.0,90.0,47.0,0.8,2.1,-2.0,1026.5,6.7
33.2589,126.4045,2026-01-07,51.0,8.5,3.8,6.0,2.5,-2.8,0.1,0.2,0.2,0.0,2.0,9.11,18.2,329.0,8.69,1.9,36207.02,32516.88,65.0,78.0,53.0,-0.2,2.8,-2.8,1021.9,6.9
33.2589,126.4045,2026-03-02,63.0,13.6,8.7,12.0,10.6,3.3,7.3,17.4,17.4,0.0,23.0,10.71,21.3,84.0,4.02,0.99,41389.72,0.0,88.0,95.0,81.0,10.1,11.2,5.8,1010.3,11.5
33.4609,126.3205,2024-11-16,53.0,22.9,18.2,19.9,25.3,19.8,21.8,1.6,1.6,0.0,5.0,3.56,7.4,42.0,11.4,1.96,37477.74,28800.0,87.0,93.0,76.0,17.6,18.5,16.7,1016.1,20.0
33.4609,126.3205,2025-09-12,53.0,31.3,25.7,27.9,35.8,28.6,31.6,2.0,2.0,0.0,11.0,7.09,14.0,161.0,17.7,4.21,44987.28,39550.53,78.0,85.0,67.0,23.8,25.9,22.2,1010.7,28.7
33.4798,126.5266,2024-10-15,55.0,24.8,20.4,22.3,28.0,23.7,25.2,5.5,5.5,0.0,16.0,3.6,7.8,275.0,10.19,1.84,40904.85,25043.25,90.0,96.0,79.0,20.6,21.8,19.4,1017.7,22.3
33.4798,126.5266,2025-12-19,51.0,17.5,5.8,11.7,17.0,4.1,10.8,0.2,0.2,0.0,1.0,1.9,5.6,97.0,9.0,1.41,35755.13,27423.25,78.0,92.0,61.0,7.9,13.1,3.2,1021.3,9.8
